DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,BG,2008,26.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,BG,2009,26.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,BG,2010,27,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,BG,2011,27.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,BG,2012,27.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,BG,2013,27.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,BG,2014,27.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,BG,2015,27.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,BG,2016,27.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,BG,2017,27.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,BG,2018,27.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,BG,2019,27.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,BY,2008,27,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,BY,2011,27.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,BY,2012,27.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,BY,2013,27.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,BY,2014,28,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,BY,2015,28.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,BY,2016,28.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,BY,2017,28.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,BY,2018,28.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CH,2008,31,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CH,2009,31.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CH,2010,31.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CH,2011,31.4,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CH,2012,31.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CH,2013,31.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CH,2014,31.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CH,2015,31.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CH,2016,31.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CH,2017,31.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CH,2018,32,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CH,2019,32.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CY,2008,30.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CY,2009,30.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CY,2010,30.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CY,2011,30.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CY,2012,30.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CY,2013,30.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CY,2014,31,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CY,2015,31.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CY,2016,31.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CY,2017,31.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CY,2018,31.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CY,2019,31.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CZ,2008,29.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CZ,2009,29.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CZ,2010,29.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CZ,2011,29.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CZ,2012,29.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CZ,2013,29.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CZ,2014,29.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CZ,2015,30,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CZ,2016,30,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CZ,2017,30,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CZ,2018,30.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,CZ,2019,30.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DE,2008,30.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DE,2009,30.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DE,2010,30.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DE,2011,30.5,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DE,2012,30.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DE,2013,30.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DE,2014,30.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DE,2015,30.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DE,2016,30.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DE,2017,31,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DE,2018,31.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DE,2019,31.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DK,2008,30.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DK,2009,30.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DK,2010,30.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DK,2011,30.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DK,2012,30.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DK,2013,30.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DK,2014,30.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DK,2015,31,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DK,2016,31,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DK,2017,31.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DK,2018,31.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,DK,2019,31.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA18,2008,30.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA18,2009,30.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA18,2010,30.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA18,2011,30.6,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA18,2012,30.6,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA18,2013,30.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA18,2014,30.9,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA18,2015,31,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA18,2016,31,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA18,2017,31.1,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA18,2018,31.2,ep
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA18,2019,31.3,bep
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA19,2008,30.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA19,2009,30.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA19,2010,30.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA19,2011,30.6,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA19,2012,30.6,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA19,2013,30.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA19,2014,30.8,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA19,2015,30.9,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA19,2016,31,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA19,2017,31.1,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA19,2018,31.2,ep
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EA19,2019,31.3,bep
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EE,2008,28.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EE,2009,28.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EE,2010,29.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EE,2011,29.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EE,2012,29.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EE,2013,29.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EE,2014,29.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EE,2015,29.9,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EE,2016,30.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EE,2017,30.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EE,2018,30.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EE,2019,30.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EL,2008,30.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EL,2009,30.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EL,2010,30.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EL,2011,30.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EL,2012,30.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EL,2013,30.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EL,2014,31.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EL,2015,31.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EL,2016,31.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EL,2017,31.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EL,2018,31.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EL,2019,31.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,ES,2008,30.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,ES,2009,31,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,ES,2010,31.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,ES,2011,31.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,ES,2012,31.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,ES,2013,31.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,ES,2014,31.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,ES,2015,31.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,ES,2016,32,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,ES,2017,32.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,ES,2018,32.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,ES,2019,32.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2007,2008,29.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2007,2009,29.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2007,2010,30,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2007,2011,30.1,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2007,2012,30.2,b
